metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
huntress.siem.logs_collected,gauge,,,,Number of SIEM log events collected from Huntress in the last run.,0,huntress,siem logs collected,
huntress.siem.pages_fetched,gauge,,,,Number of API result pages fetched from Huntress in the last run.,0,huntress,siem pages fetched,
huntress.siem.run_duration_seconds,gauge,,second,,Wall time of the Huntress SIEM collection run.,0,huntress,siem run duration,
huntress.siem.errors,count,,,,Number of errors encountered during the Huntress SIEM collection run.,0,huntress,siem errors,
huntress.siem.api_call_limit,gauge,,,,Huntress API rate limit (requests per minute) as reported by the x-huntress-api-call-limit response header.,0,huntress,api call limit,
huntress.siem.api_call_remaining,gauge,,,,Remaining Huntress API requests in the current rate limit window as reported by the x-huntress-api-call-remaining response header.,0,huntress,api call remaining,
huntress.agents.total,gauge,,,,Total number of Huntress agents registered in the account.,0,huntress,agents total,
huntress.agents.count,gauge,,,,Number of Huntress agents broken down by platform tag (windows/darwin/linux).,0,huntress,agents count,
huntress.agents.defender_status,gauge,,,,Number of Huntress agents by Defender AV status tagged as defender_status.,0,huntress,agents defender status,
huntress.agents.firewall_status,gauge,,,,Number of Huntress agents by firewall status tagged as firewall_status.,0,huntress,agents firewall status,
huntress.agents.pages_fetched,gauge,,,,Number of API pages fetched to retrieve the full agent list in the last run.,0,huntress,agents pages fetched,
